,0,1,2,3,4,5,6,7,8,9
0,14828440,14828440,8148485,4966482,3992696,3384989,2557945,2321225,2421568,1829334
1,15056968,15056968,8279018,5036067,4038392,3403564,3029504,2628288,2647727,2294648
2,14899000,14899000,8155296,4986630,4010642,3395510,3012575,2601952,2426255,2291426
3,14667324,14667324,8053002,4914494,3961267,3341862,2974192,2559896,1962088,1799400
4,14899000,14899000,8256639,4982514,4021844,3570189,3034780,2609200,2448355,2285848
5,14835198,14835198,8149974,4959371,4076351,3355928,2905968,2569045,1988028,1821420
6,14838574,14838574,8147229,4964515,4015722,3384719,2555569,2321580,2004812,1839476
7,14780910,14780910,8144196,4947416,3986811,3366276,2920061,2733144,2138539,2002812
8,15260424,15260424,8414988,5106299,4197562,3489203,3026783,2401510,2544723,2424421
9,14770674,14770674,8140662,4940461,3975077,3494900,2979754,2569625,2404301,2323429
10,14763840,14763840,8156071,4941487,4092538,3367182,2928128,2286971,1941937,1789529
11,15034218,15034218,8285838,5030187,4045123,3412138,2951417,2767042,2444222,1852780
12,14787724,14787724,8140402,4950986,3991110,3375847,3010282,2179935,1988730,1850002
13,14882280,14882280,8189575,4984584,4095409,3409841,3150183,2784365,2450970,2312904
14,14780910,14780910,8139390,4944011,4083503,3352652,2913512,2557227,2409535,1790086
15,14875578,14875578,8220530,4978039,4029251,3428243,3049525,2829710,2455372,2378605
16,15030960,15030960,8275965,5031204,4169236,3438868,3058600,2836665,2470286,2401215
17,15008098,15008098,8221169,5025689,4105952,3411736,3148900,2776835,2434767,1841595
18,14932290,14932290,8207700,4999423,4115303,3416530,3035791,2619427,2453140,2301274
19,14981850,14981850,8210075,6753712,4024578,3403920,2971730,2810372,2466299,2291545
20,14845320,14845320,8145285,4970474,4135242,3404828,3024858,2608773,2024295,1807171
21,14928970,14928970,8205027,5000063,4113884,3415274,3153382,2810201,2013519,1870824
22,15060210,15060210,8289685,5041007,4064466,3426915,2978177,2792418,2474244,2423859
23,14872224,14872224,8156442,4980732,4007665,3389810,2940274,2597212,2431826,1831642
24,14942238,14942238,8235629,4998738,4145786,3422849,2961149,2625087,2463807,1849974
25,14763840,14763840,8109237,4948834,4105865,3362461,2921950,2744674,1979691,1817335
26,15021174,15021174,8254165,5030226,4062891,3434655,3058456,2842732,2458713,2317051
27,14838574,14838574,8189168,6529152,4071977,3380567,2933546,2599384,2437636,2269234
28,15247948,15247948,8397796,5105696,4130064,3495588,3110318,2896951,2740254,2373757
29,14895660,14895660,8195694,4978746,4067509,3381138,2997211,2779287,2410648,2361278
30,14918998,14918998,8214956,4995499,4124270,3405393,3029166,2609643,2442383,1835577
31,14780910,14780910,8116335,4952396,4120423,3378588,3113925,2750844,2421166,2283433
32,14978560,14978560,8254475,5015488,4148704,3421424,2953792,2604982,2443853,1814905
33,15017908,15017908,8224440,5023447,4025221,3545606,3007309,2204429,2005240,1853355
34,14988424,14988424,8220240,5015900,4027006,3406481,2957276,2802975,2437991,2290479
35,14774088,14774088,8120814,4940101,4075850,3346761,2908369,2170592,1970326,1818861
36,14958778,14958778,8205959,5006471,4102418,3530656,3017438,2796504,2548247,2354982
37,14808118,14808118,8101899,4956552,4101242,3366169,2990119,2180849,1966890,1789722
38,15082848,15082848,8306619,5050817,4194154,3440158,2989874,2624876,2036377,1869217
39,14729550,14729550,8104101,6630962,4044619,3350348,2893244,2550300,2390878,2253436
40,14981850,14981850,8233209,5019335,4108916,3421170,2977920,2626951,2486171,2430259
41,14855424,14855424,8175672,4969162,4004769,3376081,3001289,2600395,1985535,1830893
42,14945550,14945550,8224926,5001796,4147070,3413183,3033743,2619784,2464548,1841451
43,15063450,15063450,8248527,5043561,4063074,3591792,3042184,2631382,2005091,1835026
44,14691600,14691600,8091920,4915008,3968986,3350257,2909503,2553993,2402901,1815975
45,15011370,15011370,8255590,5022869,4055309,3427352,3041693,2805384,2021533,1852440
46,14660370,14660370,8071875,4905754,3967286,3350141,2905790,2171228,2423711,2264619
47,14736424,14736424,8139896,4936546,3996035,3372616,3122622,2770560,1977607,1844011
48,14831820,14831820,8166983,4966785,4117393,3398312,3011195,2592660,2423946,2277962
49,14852058,14852058,8158475,4970140,4122366,3383028,3004708,2187958,2003085,1864860
