,0
0,14828440
1,15056968
2,14899000
3,14667324
4,14899000
5,14835198
6,14838574
7,14780910
8,15260424
9,14770674
10,14763840
11,15034218
12,14787724
13,14882280
14,14780910
15,14875578
16,15030960
17,15008098
18,14932290
19,14981850
20,14845320
21,14928970
22,15060210
23,14872224
24,14942238
25,14763840
26,15021174
27,14838574
28,15247948
29,14895660
30,14918998
31,14780910
32,14978560
33,15017908
34,14988424
35,14774088
36,14958778
37,14808118
38,15082848
39,14729550
40,14981850
41,14855424
42,14945550
43,15063450
44,14691600
45,15011370
46,14660370
47,14736424
48,14831820
49,14852058
