,config,use_best_beam,use_sidelobes,n_best_pcis,errors,complexity
0,baseline,False,False,1,"[5.84338761854844, 5.886329199516641, 6.071593904487904, 5.930485156945413, 5.78273727041564, 5.732036276712277, 6.071480540041021, 6.013060510528493, 5.8389825488324885, 5.721854493790329, 5.530696930492645, 5.908936115084509, 5.865984740971894, 5.877638328941481, 5.897533173113068, 5.7778849624387725, 6.049482526605441, 5.96593053716317, 5.989351967545065, 6.087731722666924]","[231335.06248760165, 230523.0045329129, 231504.43297936284, 232092.8463399879, 229121.86703275153, 232751.5990718321, 231168.20175438595, 232689.96578099838, 228425.3205128205, 231474.15870171247, 232783.0054479419, 230752.07225831857, 230885.57996832937, 230726.0424980048, 230622.24550898204, 231019.99604821182, 228458.30404217925, 230613.6296223057, 231786.48688915375, 231191.90490371254]"
1,best_beam_multi_1,True,False,1,"[44.06926571815011, 42.63273407592654, 44.00277791328934, 42.48289804254254, 43.36948782698335, 43.24277708307623, 43.881813636330655, 43.22233949654357, 43.16737888349733, 45.133241808267876, 43.30837654280994, 43.76621647145465, 43.64123741475974, 43.53046150214083, 43.001376744914026, 43.38038004825435, 43.272136679670496, 43.86271199935839, 43.72056690906772, 43.696823704146]","[841.2184090458243, 838.2654710287742, 841.8343017431376, 843.9739866908651, 833.1704255736419, 846.3694511702986, 840.6116427432216, 846.1453301127215, 830.6375291375291, 841.7242134607726, 846.4836561743341, 839.0984445757039, 839.5839271575613, 839.0037909018356, 838.6263473053892, 840.0727129025885, 830.7574692442882, 838.5950168083845, 842.8599523241954, 840.6978360135001]"
2,best_beam_multi_2,True,False,2,"[27.955995590473123, 27.402010038636206, 27.428110709218124, 26.782572963885748, 26.79753832834268, 26.798359098416785, 27.240245622809482, 27.62858933858732, 27.402525120299824, 27.52010749937161, 26.988582111125254, 27.17790171010643, 27.0904343203763, 27.626778196947953, 27.659768505324035, 27.84280635173207, 27.354589664333027, 28.266134568935865, 27.355148712149752, 27.867792912990996]","[16031.419559611188, 16067.35376428853, 16068.73973151673, 16057.380721919742, 15909.2722102373, 15890.034705407586, 15121.971092503987, 15443.208333333334, 15796.90268065268, 15521.421943448826, 16071.874293785311, 15707.45166371333, 15868.821060965955, 15819.126695929768, 16027.410778443114, 16116.597707962854, 15441.474321421598, 15492.460549733043, 15911.072109654351, 15698.574349811395]"
3,best_beam_multi_3,True,False,3,"[21.965471143066868, 21.7402677278303, 22.19252312510086, 21.815422114123173, 21.81188732783706, 21.55902800139695, 22.063536444692215, 22.097213249603588, 21.578727923810973, 21.900915404539777, 22.19561046878886, 22.081640827628267, 21.745466233004795, 22.496357088512138, 22.35695438238254, 22.024657248291604, 22.241405465615905, 22.219798585486302, 22.150255951367136, 21.981473729524076]","[22426.231898432852, 22757.522861647616, 22994.466038869967, 23604.714256906635, 22588.886840556974, 22374.764729620663, 22423.908692185007, 22456.112520128823, 23102.41355866356, 23281.882716049382, 22894.980024213077, 22790.565268753693, 22609.264053840063, 22566.564844373504, 22494.171057884232, 23063.918790752814, 22290.743409490333, 22851.639114099267, 22849.239372268574, 22459.686718284695]"
4,best_beam_multi_4,True,False,4,"[17.40139245338595, 17.347770266973168, 18.05744946610436, 17.915211610971976, 17.988926842020376, 17.734152743648657, 18.227283378288035, 17.38109155619801, 17.74998072615677, 17.30220673201008, 17.38827593969626, 17.746964618555012, 17.597737686353586, 17.518537208837508, 17.68674769849826, 17.80298829585932, 17.797829097170933, 17.886872049240218, 17.692887966263676, 17.408888084127387]","[31474.921444157906, 31731.830902640915, 31910.694850731317, 31650.14599717685, 31342.369876446362, 31540.408999192896, 30483.57077352472, 30927.44001610306, 30252.41763791764, 32527.989844683394, 31745.22982243745, 31208.384130734397, 31192.6292557403, 31131.422186751795, 30934.8003992016, 31438.82078640585, 31212.064049990237, 30721.73897567728, 31698.160508541914, 30977.08556680564]"
5,best_beam_multi_5,True,False,5,"[14.279531739991553, 14.126783587405303, 14.78256307608827, 14.467173818060145, 14.408476409162544, 14.21979250824995, 14.793454806971887, 14.256315977782322, 14.252524409675702, 14.326766044066131, 14.371332930951517, 14.44155647173348, 14.245444869247802, 14.48852345853781, 14.053560414949514, 14.451710082710838, 14.75464078097212, 14.503570925602332, 14.340464504839638, 14.500832679798602]","[41422.67724657806, 41773.45743003547, 42140.47225005009, 42542.76225045372, 41037.82937830947, 42036.266949152545, 40973.78070175439, 41843.25, 41085.530691530694, 42114.027479091994, 42065.14971751413, 40520.1746406773, 40785.25395882819, 41251.54449321628, 41354.567065868265, 41611.30922742541, 40712.081234133955, 40858.99782479731, 42723.44894715932, 41355.98630136986]"
6,best_beam_multi_6,True,False,6,"[12.57232369890039, 12.805465508067185, 12.763225368404576, 12.459680212485003, 12.470529493003985, 12.240600333222082, 12.675900588590851, 12.078288623036228, 12.502862344985378, 12.675309704525475, 12.323198513186547, 12.47689668984036, 12.519317900016258, 12.54969341275081, 12.57371812376508, 12.416798984236932, 12.72973722436159, 12.4793625893188, 12.538575060811874, 12.765726688640825]","[49364.79845268796, 50240.49073709105, 50392.903225806454, 50638.978423069166, 49730.08629142969, 50054.23083131557, 49171.13815789474, 49354.36614331723, 49387.444055944055, 50369.96575069693, 50525.246368038745, 49492.51959047056, 50784.05245447347, 49745.41280925778, 49778.115568862275, 50157.67496542185, 49070.86311267331, 49639.692307692305, 50461.18573698848, 49662.03097081596]"
7,best_beam_multi_7,True,False,7,"[11.057124448989615, 11.202290285762352, 11.444985732772974, 11.164114286982223, 11.411407020990447, 11.115877260574681, 11.529034072420426, 11.114083130759788, 11.109497121769785, 11.219765062293758, 11.080282552074044, 11.289428632686755, 11.026118692337768, 11.233035969043142, 11.341162366985026, 11.36653350357063, 11.38690399861489, 11.317817296880566, 11.33417186483048, 11.377275836101205]","[56564.71870660583, 57258.27453685455, 56650.01943498297, 58062.19822544868, 57012.91312021965, 57847.05710250202, 56139.02472089314, 57484.22423510467, 56678.11519036519, 57225.09159697332, 57691.290758676354, 56568.201614491045, 57592.585312747426, 57314.78192338388, 56941.550499002, 56757.88026081802, 56379.84827182191, 56293.22068420012, 57340.941398490264, 56679.9553305539]"
8,best_beam_multi_8,True,False,8,"[10.432583958941125, 10.569059463306136, 10.800424433939108, 10.592252668415313, 10.468406312409133, 10.400007395203971, 10.912391424667678, 10.264435919177435, 10.457886523313489, 10.325920150847676, 10.383478745505514, 10.55576047178562, 10.443614955959555, 10.583632922689706, 10.72960064598219, 10.424323368740609, 10.69190638031043, 10.56592696281014, 10.54774938526827, 10.8398765853758]","[64109.568537988496, 64851.898896334256, 64338.757162893206, 64986.27162734422, 64160.01804275348, 65408.16767554479, 63225.34310207336, 64213.6056763285, 63644.292735042734, 64366.897849462366, 65014.75403551251, 63223.36089781453, 65392.422011084716, 64087.95869912211, 64169.16626746507, 64541.9334123691, 63715.17359890646, 63050.94502669567, 64717.90325784664, 63460.42406194163]"
9,best_beam_multi_9,True,False,9,"[10.05375269225908, 10.05544093378601, 10.230038603613878, 10.008150051756363, 9.930344366618415, 9.905843931295655, 10.48229507084371, 10.046892309770008, 9.981173052257397, 10.028887032596083, 9.912573894347013, 10.084490625924566, 10.006420598890335, 9.983867021181693, 10.205420342263775, 10.015685419185989, 10.409981240698803, 10.073151777491567, 10.205110365126766, 10.549644290995056]","[68618.39992065067, 68397.19609775326, 68300.82067721899, 69414.37527727365, 68650.47950578545, 69537.39426957224, 67063.24481658693, 68968.88466183575, 67413.01398601399, 68268.31919553963, 69130.70177562551, 67646.61232526088, 69334.15954077593, 68322.15822027135, 68171.87225548903, 68172.29085161035, 67635.51962507323, 67272.42633972711, 68973.16547477155, 67570.71332142148]"
10,best_beam_multi_10,True,False,10,"[9.8464355144718, 10.077215910037404, 9.85163065303136, 9.750283601312939, 10.118065200018293, 9.650824716615677, 10.258895257225499, 10.041765434779718, 9.824910942302541, 9.851417354757055, 9.665762843100197, 9.899008402477959, 9.750559845378364, 9.905949710593934, 10.059018208711947, 9.754889058854376, 10.325572335674252, 9.982391748669706, 10.142065356299913, 10.268281376468096]","[73112.70680420552, 72599.63756405203, 72740.57303145662, 73598.86711030449, 72319.90370660914, 73685.34705407587, 71963.56957735248, 72472.40921900161, 71431.15093240094, 72782.19733174035, 74145.34079903147, 71844.9513683796, 72576.4853523357, 72617.64644852355, 72270.84570858284, 72482.55186721991, 72120.59793009178, 72237.58374530353, 72198.01628923322, 72715.58646019457]"
11,best_beam_multi_11,True,False,11,"[9.605872104313686, 9.984131454217597, 9.750493849422211, 9.718185623881526, 9.952384533987159, 9.755965409816941, 10.035646255838614, 10.00649386738895, 9.64632845900851, 9.79053121498252, 9.445400408812054, 9.704545286662707, 9.686841142747276, 9.752681641914098, 9.961498419953477, 9.737569864738985, 10.051376389005378, 9.59482537243216, 9.654100468162024, 10.016225937044023]","[77277.22098789923, 76195.61076074104, 76956.20356641956, 77944.87053841501, 76289.86448323201, 77337.12832929782, 76208.7629585327, 76963.90579710146, 75879.34401709402, 76871.14217443249, 77596.02340597256, 75769.64205552274, 76889.7329770388, 76892.61811652035, 76832.15828343313, 76334.60995850622, 75978.38703378246, 76761.13466482105, 76766.11442193088, 77126.05062537224]"
