,1,2,3,4,5,6,7,8,9,param
0,59017761,31637483,19706213,16103744,13087209,11817329,10598643,8521205,7998953,dummy
1,59196312,31946238,27213478,16139532,13071025,11834022,11359002,8496833,7513946,dummy
2,58656285,31688163,19586372,15938593,14019857,11797560,10531776,8566473,7488539,dummy
3,58439325,31446960,19515111,15921167,14166325,11671564,10486147,9901293,7908596,dummy
4,59366872,31838772,19829017,16199364,13085655,10809724,9612723,8541452,8016761,dummy
5,58398417,31379519,19505046,15621782,14565926,11640839,10651807,10035186,9034504,dummy
6,58810960,31713296,19628538,15767402,14098248,11858913,11136004,8456825,7489927,dummy
7,58486960,31497298,19537343,15686128,12946840,11664756,9384271,9900134,7923387,dummy
8,59684637,32201406,19919322,16329606,13208791,12000999,10720546,8664654,7632897,dummy
9,58877880,31820072,19640334,16030981,12794290,11902531,10914776,8497890,7526937,dummy
10,58439325,31407161,19510627,15968971,12999509,11728703,10496011,9474100,7413398,dummy
11,59229217,31873294,19781632,16153889,13112577,10833945,9636980,8120242,7665578,dummy
12,59057565,31884037,19708530,16042175,13076989,11919150,11143590,8512167,8005185,dummy
13,58784136,31577972,19634188,16027209,14278322,11781453,9685028,8467398,7195468,dummy
14,58784136,31498216,19616776,16072664,12964905,11430237,9309872,9129312,7997302,dummy
15,59150161,31857917,26384597,15848228,12991383,11821848,10570302,8556486,7204632,dummy
16,59516625,32082386,19873540,16223033,13095248,11823878,10626751,9619245,7576172,dummy
17,59103912,31835814,27023376,16129514,13077897,10885181,9692686,8554757,8065318,dummy
18,58957920,31798454,26363352,15809507,12771581,11506365,10619352,10096967,9531864,dummy
19,58971232,31720086,19683792,15155257,14141682,11818128,10807610,9596178,9260409,dummy
20,59017761,31637483,19706213,16103744,13087209,11817329,10598643,8521205,7998953,sinr
21,59196312,31946238,27213478,16139532,13071025,11834022,11359002,8496833,7513946,sinr
22,58656285,31688163,19586372,15938593,14019857,11797560,10531776,8566473,7488539,sinr
23,58439325,31446960,19515111,15921167,14166325,11671564,10486147,9901293,7908596,sinr
24,59366872,31838772,19829017,16199364,13085655,10809724,9612723,8541452,8016761,sinr
25,58398417,31379519,19505046,15621782,14565926,11640839,10651807,10035186,9034504,sinr
26,58810960,31713296,19628538,15767402,14098248,11858913,11136004,8456825,7489927,sinr
27,58486960,31497298,19537343,15686128,12946840,11664756,9384271,9900134,7923387,sinr
28,59684637,32201406,19919322,16329606,13208791,12000999,10720546,8664654,7632897,sinr
29,58877880,31820072,19640334,16030981,12794290,11902531,10914776,8497890,7526937,sinr
30,58439325,31407161,19510627,15968971,12999509,11728703,10496011,9474100,7413398,sinr
31,59229217,31873294,19781632,16153889,13112577,10833945,9636980,8120242,7665578,sinr
32,59057565,31884037,19708530,16042175,13076989,11919150,11143590,8512167,8005185,sinr
33,58784136,31577972,19634188,16027209,14278322,11781453,9685028,8467398,7195468,sinr
34,58784136,31498216,19616776,16072664,12964905,11430237,9309872,9129312,7997302,sinr
35,59150161,31857917,26384597,15848228,12991383,11821848,10570302,8556486,7204632,sinr
36,59516625,32082386,19873540,16223033,13095248,11823878,10626751,9619245,7576172,sinr
37,59103912,31835814,27023376,16129514,13077897,10885181,9692686,8554757,8065318,sinr
38,58957920,31798454,26363352,15809507,12771581,11506365,10619352,10096967,9531864,sinr
39,58971232,31720086,19683792,15155257,14141682,11818128,10807610,9596178,9260409,sinr
