,0,1,2,3,4,5,6,7,8,9,10
0,14828440,14828440,8146595,4966272,3993720,3373934,2552387,2315502,2422073,1824949,1693472
1,15056968,15056968,8269683,5035066,4040804,3395907,3026742,2629071,2646822,2294585,1652491
2,14899000,14899000,8159174,4986060,4010187,3380400,3001985,2582851,2414161,2270601,2135596
3,14667324,14667324,8051109,4914758,3955060,3335964,2971692,2559975,1962374,1794509,1629401
4,14899000,14899000,8240016,4983606,4019326,3566770,3027368,2597633,2435281,2275215,1697479
5,14835198,14835198,8140524,4961682,4074656,3348404,2902199,2570209,1989624,1820305,1673019
6,14838574,14838574,8147229,4965764,4010893,3383553,2554736,2319545,2005928,1838360,1653741
7,14780910,14780910,8132904,4946438,3980657,3353936,2910852,2721835,2132096,1992524,1676277
8,15260424,15260424,8397778,5106958,4189599,3472841,3014867,2402496,2535418,2414566,2262886
9,14770674,14770674,8135067,4940204,3980462,3496916,2977958,2550169,2389375,2312454,2169317
10,14763840,14763840,8148819,4941303,4088918,3360783,2915838,2281303,1939553,1790499,1707998
11,15034218,15034218,8255340,5033124,4046909,3404641,2942537,2755029,2431959,1846627,1714459
12,14787724,14787724,8131242,4952390,3988819,3371790,3004629,2178934,1984432,1847852,1685112
13,14882280,14882280,8187765,4983809,4094856,3397227,3145780,2771185,2447550,2302684,1704881
14,14780910,14780910,8137520,4943959,4078327,3349212,2904893,2550553,2401506,1789582,1641476
15,14875578,14875578,8206018,4977573,4029468,3408702,3039122,2818880,2455734,2376207,2237573
16,15030960,15030960,8274150,5031492,4163096,3428367,3052351,2831657,2465486,2388683,2253803
17,15008098,15008098,8225009,5026725,4112217,3396547,3141591,2765131,2426514,1837427,1663053
18,14932290,14932290,8205869,4997927,4115903,3403752,3027033,2616513,2445095,2287824,1703559
19,14981850,14981850,8204375,6742387,4023056,3394507,2957162,2797678,2457934,2283884,2213975
20,14845320,14845320,8149139,4970124,4134810,3399246,3024831,2604569,2023832,1795994,1663208
21,14928970,14928970,8210439,4999353,4116604,3411241,3151640,2802734,2011260,1865870,1703150
22,15060210,15060210,8282229,5041216,4065178,3412895,2963335,2776236,2465059,2402828,2225297
23,14872224,14872224,8169371,4979689,4007537,3377918,2930507,2586756,2419443,1827350,1653103
24,14942238,14942238,8237409,4997997,4144129,3406975,2943271,2621559,2451641,1842404,1702865
25,14763840,14763840,8101641,4948116,4097466,3352698,2905962,2716485,1974929,1811625,1683016
26,15021174,15021174,8244905,5029740,4055073,3424106,3043443,2830573,2448695,2304213,2233827
27,14838574,14838574,8198183,6510564,4074448,3372558,2918771,2589766,2424730,2263759,2121886
28,15247948,15247948,8390664,5106360,4126535,3482194,3098342,2888051,2735481,2355133,1755456
29,14895660,14895660,8193822,4979549,4073309,3372549,2985711,2763696,2415464,2364958,1773611
30,14918998,14918998,8205941,4996211,4122799,3400944,3021328,2603678,2433916,1836003,1666803
31,14780910,14780910,8107135,4951544,4112321,3371826,3111318,2744002,2416620,2281265,2210647
32,14978560,14978560,8247135,5016250,4141771,3409892,2952114,2609461,2440228,1808886,1732327
33,15017908,15017908,8228186,5020693,4020292,3540395,3000760,2203939,2007863,1849529,1642409
34,14988424,14988424,8210920,5017756,4031934,3395834,2946294,2795272,2428409,2280693,1663452
35,14774088,14774088,8126394,4941299,4066095,3337838,2899999,2174633,1970045,1817210,1672550
36,14958778,14958778,8194781,5007456,4104477,3521069,3007944,2786129,2534858,2345595,1816104
37,14808118,14808118,8094091,4956244,4092069,3357322,2983393,2183717,1958142,1786073,1708171
38,15082848,15082848,8295609,5051323,4187970,3441674,2977673,2614207,2028605,1864519,1724621
39,14729550,14729550,8102280,6639071,4044293,3337017,2891173,2551238,2385346,2239285,1662720
40,14981850,14981850,8223729,5019144,4108268,3415036,2968054,2623468,2480013,2423535,2261092
41,14855424,14855424,8181192,4968884,4004921,3379436,2998912,2587738,1987834,1821853,1684545
42,14945550,14945550,8224926,5000720,4136571,3405135,3023727,2617112,2461857,1837625,1668941
43,15063450,15063450,8257812,5041362,4063213,3589747,3034694,2627932,2000005,1829851,1752622
44,14691600,14691600,8088240,4915060,3971631,3350630,2895770,2549105,2396184,1813524,1637099
45,15011370,15011370,8251976,5025233,4053199,3413431,3028205,2794470,2021251,1844437,1767511
46,14660370,14660370,8081100,4903781,3966982,3342001,2898567,2169865,2415034,2251942,1639075
47,14736424,14736424,8116457,4936546,3997943,3367753,3116852,2763980,1979052,1842309,1688481
48,14831820,14831820,8153872,4967496,4111917,3382199,2996641,2585458,2417032,2272251,2196493
49,14852058,14852058,8145462,4971806,4119561,3369034,2997917,2191487,1998351,1858557,1690826
