,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,param
0,59017761,31616766,19702348,16041675,14151105,11765473,10641445,8492227,7219380,6708243,6412429,5955975,5047172,4882847,4239154,4085361,3902146,3606747,3498252,rsrq
1,59196312,31918596,19759466,15864121,12775196,11824074,10633192,8491481,7197847,6886459,6390413,6287211,5613582,4750556,4550263,4381229,4250114,4175347,4014257,rsrq
2,58656285,31633164,19580008,15985572,12911542,10667837,9496587,8425936,7163878,6167366,5802229,5496501,5035438,4873128,4175489,3994290,3701091,3602721,3545428,rsrq
3,58439325,31432152,26850325,15909425,12684033,11691209,10521104,10047858,9485643,7487591,7301216,6988815,6806264,5528459,4866000,4036778,3710761,3465328,3453413,rsrq
4,59366872,31792592,19824783,16247097,13067349,11598606,10662223,8502083,7980782,7510969,7227837,7122047,5872129,5210919,5149040,4256205,4083626,3926455,3844309,rsrq
5,58398417,31377528,19500289,15963336,12858425,11602868,9599307,9933593,7953310,6680802,6213053,5335898,5170714,4875938,4680073,4437972,4290887,4176048,3973514,rsrq
6,58810960,31681238,19624556,15138057,12821113,11796905,10629633,8488632,7995008,6683405,6383193,5560960,4687372,4751896,4485688,4331822,4173854,4005974,3587187,rsrq
7,58486960,31492056,19531318,15951254,14336172,11681061,10503898,8065831,7751952,6785856,5708170,5348655,5172114,4905873,4370220,4052670,3951198,3762972,3636242,rsrq
8,59684637,32192259,19911776,16287792,13156067,11978722,10953531,8665776,8153021,7686472,6805383,6592987,6292269,4952659,4794790,4697688,4551187,4420066,4150686,rsrq
9,58877880,31809640,19635659,16071133,13037566,11859519,10710360,8519609,8069817,7093149,6690931,6513951,5035813,4618647,4405935,4270472,3994932,3952181,3841229,rsrq
10,58439325,31368269,19505580,15023770,12707025,11718480,10525493,8889853,7883714,6977505,6682490,6233755,5975522,5788753,4575435,4462834,4351164,4253592,4210155,rsrq
11,59229217,31847859,19776876,16200949,13078831,10778996,9674586,10127267,7983840,7527552,6645674,6510232,6343451,6208983,6084765,4830827,4529638,4254243,4151163,rsrq
12,59057565,31874808,19706237,16087951,14164861,11864231,9695756,8560224,7245933,6259809,5959752,5590166,5328027,5151151,4695621,4141088,3946375,3829181,3691648,rsrq
13,58784136,31514212,26961513,15987468,12979408,11765441,10603760,8972468,8783979,8473326,7497390,6589790,5323233,4867017,4776041,4498060,3836898,3661239,3541584,rsrq
14,58784136,40508842,23759586,16114760,14091709,11716517,10079110,10108792,8027661,7539342,7189944,6295448,4916440,4741310,4600049,4560159,4163120,3916500,3504072,rsrq
15,59150161,31846900,19748096,16119253,12991753,10831571,9696645,9590921,7541577,7151684,5819851,5653725,5386898,5246320,4946430,4490743,4341041,4173036,4076503,rsrq
16,59516625,32026850,19874495,15270197,12884876,11678179,10640861,9011084,8101221,7776104,7303577,7161459,5839738,5156694,4978063,4806554,4562457,3687725,3492819,rsrq
17,59103912,31798196,19730704,16047031,13029163,11845670,9746919,10236358,8236332,7772521,7311366,7115336,6231726,4902736,4612296,4395055,3774447,3568411,3434509,rsrq
18,58957920,31763760,19676160,16063556,13032083,11859516,10695076,9683761,7492867,7061208,6740918,6365911,4928867,4751216,4465811,4041882,3899468,3796286,3599995,rsrq
19,58971232,31699902,19681108,16114394,14577931,11855308,9617843,8414155,8101948,7631757,7443553,6567150,5359910,4661291,4387891,4085361,3988853,3769655,3603168,rsrq
