,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,14828440,14828440,8137145,4966272,3994282,3376001,2554862,2315026,2423773,1829379,1692932,1623196,1573171,1484506,1399557,1358070,1291660,1263420,1043851,1007583,1002992
1,15056968,15056968,8267816,5035631,4041242,3400358,3022832,2628782,2643672,2294845,1652673,1581775,1529971,1444358,1388395,1340171,1309816,1248736,1231109,1002880,992119
2,14899000,14899000,8153357,4985862,4011074,3381162,3002883,2586194,2411275,2270467,2129593,1552022,1477096,1426800,1223669,1196044,1108855,1084952,1058392,1024597,1011960
3,14667324,14667324,8054895,4915025,3953577,3341234,2971681,2560742,1962213,1795454,1630407,1544982,1487210,1423982,1360649,1320220,1275202,1254178,1223828,1017340,985090
4,14899000,14899000,8234475,4984094,4019478,3567134,3026213,2602231,2439280,2275290,1694578,1626134,1566510,1454715,1352179,1302117,1278067,1248155,1222952,998728,929401
5,14835198,14835198,8144304,4960751,4074645,3350126,2902887,2567530,1987449,1819211,1673571,1566475,1502749,1293557,1241103,1209260,1135920,1096051,1075794,1040792,1028479
6,14838574,14838574,8150887,4965090,4009317,3380473,2556291,2318324,2004424,1839998,1655163,1547991,1482096,1424604,1392650,1345326,1119634,1099852,1082969,1061766,1052663
7,14780910,14780910,8132904,4946183,3979893,3356636,2914060,2721222,2130636,1993033,1676761,1578429,1522997,1425388,1337173,1301201,1073590,1006481,963549,935017,913662
8,15260424,15260424,8399499,5107141,4193985,3472557,3012674,2404998,2536276,2411066,2260633,1626181,1578761,1490705,1384737,1361108,1331069,1282827,1226153,1205735,1187617
9,14770674,14770674,8133202,4940468,3978319,3491572,2981468,2554965,2393452,2311000,2167475,1554779,1457643,1412671,1367692,1285851,1252098,1033446,1009120,1002427,981007
10,14763840,14763840,8152445,4942570,4085750,3358371,2914255,2281280,1937822,1789209,1707141,1650245,1555922,1457651,1411120,1176867,1145207,1062919,1007344,973857,958257
11,15034218,15034218,8257134,5032145,4050232,3403066,2942189,2753489,2433313,1844153,1713210,1602804,1505324,1452773,1412331,1340708,1120018,1069063,1034635,1017730,985176
12,14787724,14787724,8142234,4951470,3990390,3370246,3001795,2178823,1984437,1846586,1685886,1621244,1521305,1479077,1387413,1358396,1293099,1250007,1220303,1206871,982891
13,14882280,14882280,8187765,4983883,4093583,3399850,3146947,2773399,2448246,2303876,1703287,1603832,1528551,1448078,1373945,1324350,1342816,1331341,1310801,1250142,1223199
14,14780910,14780910,8133780,4943688,4075933,3347687,2907932,2547748,2399837,1784955,1639882,1570593,1507815,1424268,1338509,1296013,1265130,1249698,1040549,1010250,980384
15,14875578,14875578,8209646,4977839,4028585,3401537,3036041,2821408,2456463,2382921,2245021,1624504,1576946,1489391,1397748,1336426,1297793,1264195,1245314,1241801,1226072
16,15030960,15030960,8268705,5031755,4164792,3426615,3051483,2827707,2461431,2388757,2252424,1613481,1549115,1478140,1251072,1193153,1156142,1135145,1057859,1043073,1006983
17,15008098,15008098,8226929,5027093,4110253,3397770,3142805,2769211,2430209,1834913,1659705,1587167,1491673,1440084,1415392,1395421,1355667,1334782,1130383,1090080,1073090
18,14932290,14932290,8205869,4997706,4113910,3401986,3029975,2613976,2442472,2293582,1700007,1634806,1577931,1529452,1400216,1314156,1291909,1265417,1243897,1010198,990774
19,14981850,14981850,8204375,6738198,4025004,3396956,2960798,2800925,2458145,2286695,2216395,2151260,2097707,1479286,1415972,1185429,1097097,1070856,1035449,1008717,983670
